name_of_university,name_of_course,course_code,degree,total_semesters,total_credits,online_offline,teaching_language,course_fee
ETH Zurich,Bachelor Computer Science,,Bachelor,6,180,Offline,English/German/French/Italian,730
University of Zurich,Computational Sciences,,Bachelor,3,90,Offline,German,
EPFL,Computer Science,,Master,4,120,Offline,English/German/French/Italian,
University of Geneva, Computer Science,,Bachelor,6,180,Offline,French,500
University of Basel,Computational Sciences,,Bachelor,6,180,Offline,German,850
University of Bern,Bachelor of Science in Computer Science,,Bachelor,6,180,Offline,German,750
University of Bern,Master's in Computer Science,,Master,3,90,Offline,German,750
University of Bern,PhD of Science in Computer Science,,PhD,8,0,Offline,German,750
University of St. Gallen,Master Computer Science,MCS,Master,4,120,Offline,English,1429
University of St. Gallen,Bachelor Computer Science,BCS,Bachelor,6,180,Offline,English,1229
University of St. Gallen,PhD Computer Science,DCS,PhD,4,12,Offline,English,
University of Fribourg,Computer Science,,Bachelor,6,180,Offline,French/German,600
University of Fribourg,Computer Science,,Master,4,120,Offline,French/German,600
University of Fribourg,Computer Science,,PhD,,0,Offline,French/German,600
University of Neuchâtel,Data Science,,Bachelor,6,180,Offline,French,900
University of Neuchâtel,Data Science,,Master,3,90,Offline,English,900
ZHAW Zurich University of Applied Sciences,Master in Data Science,,Bachelor,6,180,Offline,German,720
HES-SO University of Applied Sciences and Arts Western Switzerland,Computer science,CS,Master,3,90,Offline,French,800
HES-SO University of Applied Sciences and Arts Western Switzerland,Data Science,DS,Master,3,90,Offline,French,800
Lucerne University of Applied Sciences and Arts,Computer Science,,Master,4,120,Offline,English,650
Lucerne University of Applied Sciences and Arts,Artificial Intelligence,,Bachelor,4,120,Offline,English/German,800
University of Applied Sciences and Arts Northwestern Switzerland,Digital Business and AI,DS-FHNW,Bachelor,6,180,Offline,English/German,850
University of Applied Sciences of Eastern Switzerland,Bachelor in Computer Science,,Bachelor,6,180,Offline,German,1000
University of Applied Sciences of Eastern Switzerland,MSE Data Science,,Master,4,120,Offline,German,1000
University of Zurich,Artificial Intelligence,,Master,3,90,Offline,English,
ETH Zurich,Master Computer Science,,Master,1,90,Offline,English/German/French/Italian,730
EPFL,Computer Science,,Bachelor,6,180,Offline,English/German/French/Italian,
EPFL,Life Sciences Engineering,,Bachelor,6,180,Offline,English/German/French/Italian,
University of Geneva,"Mathematics, Computer Science and Numerical Science",,Master,4,120,Offline,English/French,500
University of Geneva,Computer Science,,Master,4,120,Offline,English/French,500
University of Geneva,Bidisciplinary master of science,,Master,4,120,Offline,English/French,500
University of Basel,Computer Science / Informatik,,Bachelor,6,180,Offline,"English, German",850
University of Lucerne,Lucerne Master in Computational Social Sciences,LUMACSS,Master,4,120,Offline,German,1000
University of Applied Sciences of Eastern Switzerland,MSE Computer Science,,Master,4,120,Offline,German,1000
University of Zurich,Computational Science,,Master,1,30,Offline,English,
University of Zurich,Data Science,,Master,3,90,Offline,English,
ETH Zurich,Bachelor Computational Science and Engineering,,Bachelor,6,180,Offline,English/German/French/Italian,730
EPFL,Life Sciences Engineering,,Master,6,120,Offline,English/German/French/Italian,
University of Basel,Computer Science / Informatik (ausserfakultäres Bachelorstudienfach),,Bachelor,6,180,Offline,English/German,850
ETH Zurich,Master Computational Science and Engineering,,Master,1,90,Offline,English/German/French/Italian,730
ETH Zurich,Bachelor Electrical Engineering and Information Technology,,Bachelor,6,180,Offline,English/German/French/Italian,730
ETH Zurich,Master Electrical Engineering and Information Technology,,Master,1,90,Offline,English/German/French/Italian,730
Università della Svizzera italiana,Bachelor in Data Science,,Bachelor,6,180,Offline,English,4000
Università della Svizzera italiana,Master in Computational Science,,Master,4,120,Offline,English,4000
University of Basel,Computer Science / Informatik,,Master,3,90,Offline,English,850
University of Basel,Computer Science / Informatik (ausserfakultäres Masterstudienfach),,Master,4,120,Offline,English,850
University of Basel,Data Science,,Master,4,120,Offline,English,850
